AC_NUM, ACID, TRACK_CNT, ST_TIME, END_TIME, ORIG_TRACK_CNT, ORIG_ST_TIME, ORIG_END_TIME, TRACK_QSTAT, MAX_X, MIN_X, MAX_Y, MIN_Y, MAX_Z, MIN_Z, AC_EQ, AC_TYP, DEST_FIX, FLIG, ORIGIN_FIX, PRM_ID, GAP_VALUE, MAX_X_SMO, MIN_X_SMO, MAX_Y_SMO, MIN_Y_SMO, MAX_Z_SMO, MIN_Z_SMO, TOD_TIME, TOC_TIME, TOC_ALT, END_, STAR,END_CENTER_TIME, START_CENTER_TIME, 	
       116,ABJ3341_232    ,       413,     82270,     86390,           330,       82265,        86398,          0,   365.571,   213.725,   603.671,   145.225,     36000,      9123,L    ,B739  ,EWR                 ,OVR ,FLL                 ,        -1,         0,   365.149,   213.963,   603.229,   146.277,     36000,      9278,     85850,     83500,     36000,n/a ,ZJX ,          86310,            82570
       117,ABJ3347_185    ,       542,     61190,     66600,           431,       61182,        66607,          0,     404.3,    83.667,    646.85,       139,     37000,      2000,L    ,B738  ,EWR                 ,OVR ,RSW                 ,        -1,         0,   404.222,    84.039,   646.544,   139.793,     37000,      2022,     64590,        -1,     99900,n/a ,ZJX ,          65430,            62090
       118,ABJ3348_27A    ,       453,     48150,     52670,           365,       48142,        52671,          0,   403.567,   133.869,   638.692,   197.585,     40000,      4133,L    ,B752  ,MCO                 ,OVR ,EWR                 ,        -1,         0,   403.267,   134.621,    638.21,   198.506,     40000,      4331,        -1,     49310,     38000,n/a ,ZNY ,          51510,            48540
       119,ABJ3348_619    ,       461,     33110,     37710,           377,       33106,        37719,          0,     398.9,   224.267,     628.9,   122.502,     37000,      1000,L    ,B738  ,EWR                 ,UNK ,TJBQ                ,        -1,         0,   398.721,   224.485,   628.503,   123.579,     37000,      1039,     36430,        -1,     99900,n/a ,ZJX ,          37030,            33410
       120,ABJ3353_06F    ,       289,     72670,     75550,           229,       72668,        75555,          0,     267.5,    21.733,   518.394,   303.017,     39000,       583,L    ,B737  ,DCA                 ,ARR ,IAH                 ,        -1,         0,   267.433,    22.842,   518.049,   303.585,     38989,       722,     74520,        -1,     99900,n/a ,ZTL ,          74850,            73370
       121,ABJ3357_221    ,       196,     52200,     54150,           158,       52198,        54151,          0,   243.084,    53.792,   559.242,     523.9,     24000,      2166,L    ,B739  ,ORD                 ,DEP ,IAD                 ,        -1,         0,   242.506,    54.675,   558.689,   524.029,     24000,      2560,        -1,     53010,     24000,n/a ,ZDC ,          53490,            52330
       122,ABJ3360_573    ,       439,      7460,     11970,           356,        7451,        11976,          0,    399.09,    67.623,   629.167,   241.746,     36000,      1707,L    ,B739  ,RSW                 ,OVR ,EWR                 ,        -1,         0,   398.766,    68.074,   628.979,   242.687,     36000,      1935,        -1,      8580,     36000,n/a ,ZNY ,          10830,             8600
       123,ABJ3360_93N    ,       536,     76890,     82240,           426,       76887,        82240,          0,     398.1,   213.669,     627.5,   145.746,     37000,      1400,L    ,B738  ,EWR                 ,OVR ,FLL                 ,        -1,         0,   397.875,   213.933,   626.925,   146.858,     37000,      1458,     80080,        -1,     99900,n/a ,ZJX ,          81360,            77270
       124,ABJ3361_103    ,       275,     10230,     12970,           222,       10225,        12970,          0,   294.383,    28.525,   648.925,     535.3,     39000,       100,L    ,B737  ,BWI                 ,ARR ,ORD                 ,        -1,         0,    294.24,    29.512,    648.31,     535.5,     39000,       233,     11480,        -1,     99900,n/a ,ZOB ,          11680,            11110
       141,ABJ3391_650    ,       254,     46940,     49590,           206,       46935,        49597,          0,   241.669,     82.75,   524.394,   273.458,     36000,      4225,L    ,B739  ,MMUN                ,UNK ,IAD                 ,        -1,         0,   241.597,    83.126,   523.818,   274.313,     36000,      4526,        -1,     48040,     36000,n/a ,ZDC ,          48400,            47140
       142,ABJ3393_727    ,       222,      6550,      8760,           179,        6546,         8765,          0,    247.48,       171,    528.56,   343.454,     22000,       500,L    ,B739  ,IAD                 ,INR ,RDU                 ,        -1,         0,   247.444,   171.111,    528.02,   343.832,     22000,       500,      7660,      6980,     22000,n/a ,ZDC ,           7780,             6600
       143,ABJ3394_881    ,       529,     54860,     60140,           421,       54860,        60149,          0,     403.5,      70.1,   650.959,       139,     37000,      1900,L    ,B738  ,EWR                 ,OVR ,FLL                 ,        -1,         0,   403.334,    70.717,   650.687,   140.117,     37000,      2008,     58010,        -1,     99900,n/a ,ZJX ,          59010,            55870
       144,ABJ3399_281    ,       289,      3750,      6630,           231,        3745,         6633,          0,   268.183,    18.338,   645.077,     501.7,     39000,       750,L    ,B737  ,DCA                 ,ARR ,ORD                 ,        -1,         0,   268.104,    19.339,   644.315,   501.895,     39000,       858,      4870,        -1,     99900,n/a ,ZOB ,           5230,             4660
       145,ABJ3402_828    ,       263,     48830,     51570,           212,       48825,        51575,          0,   242.685,     74.85,   525.369,   256.383,     36000,      3092,L    ,B739  ,TPA                 ,DEP ,IAD                 ,        -1,         0,   242.585,    75.271,    524.78,   257.305,     36000,      3467,        -1,     50050,     36000,n/a ,ZDC ,          50380,            48970
       146,ABJ3403_269    ,       138,     82330,     83820,           111,       82327,        83820,          0,   173.981,      39.5,     417.2,   338.761,     32000,      3700,L    ,B739  ,SFO                 ,DEP ,RDU                 ,        -1,         0,   173.377,    40.058,   416.183,   339.113,     31994,      3956,        -1,     83480,     32000,n/a ,ZDC ,          82620,            82410
       147,ABJ3406_548    ,       224,     45910,     48140,           181,       45902,        48141,          0,   239.334,    12.008,   519.901,    403.95,     34000,      6500,L    ,B738  ,SFO                 ,DEP ,IAD                 ,        -1,         0,   239.258,    13.088,   519.341,   404.432,     33978,      6822,        -1,     47260,     30000,n/a ,ZDC ,          47290,            46130
       148,ABJ3408_45T    ,       441,     80140,     84540,           348,       80136,        84543,          0,   398.508,    30.391,   627.838,   226.546,     35000,      1400,L    ,B739  ,EWR                 ,OVR ,MSY                 ,        -1,         0,   398.227,    31.474,   627.275,   227.152,     35000,      1428,     83170,     80340,     35000,n/a ,ZJX ,          83790,            80700
       149,ABJ3413_000    ,       214,     34230,     36360,           176,       34228,        36361,          0,     248.6,    39.367,   611.533,   516.515,     37000,       300,L    ,B739  ,IAD                 ,ARR ,SFO                 ,        -1,         0,   248.591,    40.641,   611.251,   516.758,     37000,       300,        -1,        -1,     99900,n/a ,ZOB ,          35250,            34730
       150,ABJ3416_884    ,       281,     70490,     73290,           225,       70490,        73290,          0,     414.6,     248.3,     670.3,   516.416,     28000,       300,L    ,B738  ,IAD                 ,ARR ,BOS                 ,        -1,         0,   413.742,   248.358,   669.583,   516.802,     28000,       300,        -1,        -1,     99900,n/a ,ZDC ,              0,            70490
       151,ABJ3417_486    ,       439,     79410,     83930,           354,       79401,        83932,          0,   397.623,    68.583,     630.4,   242.833,     36100,      2707,L    ,B738  ,TPA                 ,OVR ,EWR                 ,        -1,         0,   397.194,    69.018,   630.244,   243.876,     36033,      2966,        -1,     80560,     36000,n/a ,ZNY ,          82750,            80600
       152,ABJ3419_417    ,       248,     60190,     62660,           195,       60186,        62663,          0,   248.354,     7.133,   614.867,   517.317,     39000,       300,L    ,B738  ,IAD                 ,ARR ,SFO                 ,        -1,         0,   248.201,     8.315,   614.597,   517.618,     39000,       300,        -1,        -1,     99900,n/a ,ZOB ,          61530,            61110
       153,ABJ3419_949    ,       187,     72980,     74840,           151,       72979,        74845,          0,   244.051,      52.9,   559.708,   523.517,     34000,      1725,L    ,B739  ,DEN                 ,DEP ,IAD                 ,        -1,         0,   243.331,    53.719,   559.192,   523.663,     34000,      2092,        -1,     74150,     34000,n/a ,ZDC ,          74020,            73070
       154,ABJ341_016     ,       425,     63770,     68010,           342,       63770,        68013,          0,     574.6,     248.3,     670.7,   519.046,     40000,       400,L    ,B752  ,IAD                 ,UNK ,LEMD                ,        -1,         0,   573.692,   248.401,   670.367,   519.342,     40000,       403,     66910,        -1,     99900,n/a ,ZDC ,              0,            63770
       155,ABJ3422_572    ,       231,     61370,     63670,           186,       61368,        63671,          0,   241.757,        17,   525.099,   387.562,     38000,      3676,L    ,B738  ,IAH                 ,DEP ,IAD                 ,        -1,         0,   241.446,    18.046,   524.511,   388.169,     37994,      4124,        -1,     62630,     37000,n/a ,ZDC ,          62670,            61610
       156,ABJ3422_729    ,       288,     45220,     48090,           232,       45218,        48091,          0,   416.967,   247.133,   671.467,     519.1,     24000,       300,L    ,B739  ,IAD                 ,ARR ,BOS                 ,        -1,         0,   416.311,   247.264,   670.839,   519.158,     24000,       300,     47010,        -1,     99900,n/a ,ZNY ,              0,            45220
       157,ABJ3432_085    ,       254,     49610,     52260,           202,       49610,        52260,          0,     243.6,      77.1,     526.3,       261,     34000,      2000,L    ,B739  ,MMUN                ,UNK ,IAD                 ,        -1,         0,   243.017,    77.558,   525.908,   262.167,     34000,      2525,        -1,     50730,     34000,n/a ,ZDC ,          51060,            49810
       158,ABJ3432_089    ,       259,     38180,     40760,           209,       38174,        40763,          0,     407.4,     248.3,   666.599,   518.808,     24000,       200,L    ,B739  ,IAD                 ,ARR ,BOS                 ,        -1,         0,   406.941,   248.362,   665.806,   519.105,     24000,       201,        -1,        -1,     99900,n/a ,ZNY ,              0,            38180
       159,ABJ3435_314    ,       510,     41530,     46620,           406,       41523,        46624,          0,   400.208,    76.292,   631.985,   137.317,     37000,       300,L    ,B739  ,EWR                 ,OVR ,RSW                 ,        -1,         0,   399.994,    76.707,   631.472,   138.131,     37000,       302,     45320,        -1,     99900,n/a ,ZJX ,          45820,            42560
       160,ABJ3438_018    ,       496,     44170,     49120,           394,       44161,        49124,          0,   398.567,      31.9,   628.233,     160.3,     35000,      1400,L    ,B739  ,EWR                 ,OVR ,TPA                 ,        -1,         0,   398.299,    32.374,   627.634,   161.006,     35000,      1416,     47630,        -1,     99900,n/a ,ZJX ,          48450,            45010
       161,ABJ3438_931    ,       412,     71600,     75710,           332,       71598,        75717,          0,    397.67,    22.392,     633.5,   377.717,     36000,      2400,L    ,B738  ,DFW                 ,OVR ,EWR                 ,        -1,         0,   397.116,    22.705,   633.248,   378.618,     36000,      2830,        -1,     73050,     36000,n/a ,ZNY ,          74750,            72850
       162,ABJ3444_747    ,       255,      9070,     11610,           207,        9062,        11618,          0,   406.267,   248.324,     664.4,   520.608,     28000,       300,L    ,B738  ,IAD                 ,ARR ,BOS                 ,        -1,         0,   405.635,   248.408,   663.905,   520.908,     28000,       304,        -1,        -1,     99900,n/a ,ZNY ,              0,             9070
       163,ABJ3448_627    ,       260,     48580,     51170,           210,       48577,        51177,          0,   266.027,    15.958,     529.1,   392.792,     36000,      2375,L    ,B738  ,SFO                 ,DEP ,DCA                 ,        -1,         0,   265.748,    16.817,   529.036,   393.086,     36000,      2608,        -1,     49880,     36000,n/a ,ZDC ,          50240,            48970
       164,ABJ3448_743    ,       171,     11250,     12950,           138,       11249,        12957,          0,   183.675,    37.433,   391.569,   344.846,     30050,       700,L    ,B739  ,RDU                 ,ARR ,SFO                 ,        -1,         0,   183.399,    38.754,   391.458,   345.164,     29661,       702,        -1,        -1,     99900,n/a ,ZTL ,          12200,            11640
